"Message",Low,"Der Buildvorgang wurde gestartet."
"Message",Low,"Projekt ""Unnamed_1"" (Standardziele):"
"Message",Low,"Erstellung mit der Toolsversion 4.0."
"Message",Low,"Ziel ""PrintILCStartMessage"" in Datei ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x64\ilc\IlcInternals.targets"" aus Projekt ""D:\Shinigami\Documents\Visual Studio 2015\Projects\FileExplorer\FileExplorer\Unnamed_1"" (Ziel ""Build"" ist davon abhängig):"
"Message",Low,"Die IlcMessageTask-Aufgabe aus der C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x64\ilc\ilc.exe-Assembly wird verwendet."
"Message",Low,"IlcMessageTask-Aufgabe"
"Message",High,"Die .NET Native-Kompilierung wird gestartet."
"Message",Low,"Ausführen der IlcMessageTask-Aufgabe beendet."
"Message",Low,"Die Erstellung des Ziels ""PrintILCStartMessage"" im Projekt ""Unnamed_1"" ist abgeschlossen."
"Message",Low,"Ziel ""RunGatekeeper"" in Datei ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x64\ilc\IlcInternals.targets"" aus Projekt ""D:\Shinigami\Documents\Visual Studio 2015\Projects\FileExplorer\FileExplorer\Unnamed_1"" (Ziel ""Build"" ist davon abhängig):"
"Message",Low,"Die WriteLinesToFile-Aufgabe aus der Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a-Assembly wird verwendet."
"Message",Low,"WriteLinesToFile-Aufgabe"
"Message",Low,"Ausführen der WriteLinesToFile-Aufgabe beendet."
"Message",Low,"Die StartProcessTask-Aufgabe aus der Microsoft.Build.ILTasks-Assembly wird verwendet."
"Message",Low,"StartProcessTask-Aufgabe"
"Message",Normal,"""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x64\ilc\tools\Gatekeeper.exe @""D:\Shinigami\Documents\Visual Studio 2015\Projects\FileExplorer\FileExplorer\obj\x64\Release\ilc\intermediate\gkargs.rsp"""" wird gestartet"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 1.0.24208.01 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Assembly ""D:\Shinigami\Documents\Visual Studio 2015\Projects\FileExplorer\FileExplorer\obj\x64\Release\ilc\in\FileExplorer.exe"" wird gepr�ft. "
"Message",Normal,"""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x64\ilc\tools\Gatekeeper.exe @""D:\Shinigami\Documents\Visual Studio 2015\Projects\FileExplorer\FileExplorer\obj\x64\Release\ilc\intermediate\gkargs.rsp"""" abgeschlossen."
"Message",Normal,"Statistiken für die Prozessausführung (alle Zeiten in Millisekunden)"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"Launch  |  Start   |   Stop   |   Ende    | Dauer | Lebensdauer | [Slot] Name"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"       0 |       15 |      750 |      750 |      735 |      750 | [0] Gatekeeper"
"Message",Normal,"Befehlsanzahl:      1"
"Message",Normal,"Systemzeit gesamt:       750 ms"
